Sl.No,pH,Temperature,Taste,Odour,Fat,Turbidity,Colour,Grade
173,6.6,45,0,1,1,1,250,high
174,6.8,45,1,1,1,1,245,high
175,6.6,35,0,1,1,1,255,high
176,6.8,45,0,1,1,1,255,high
177,6.5,38,1,1,1,1,255,high
178,6.8,40,1,1,1,1,255,high
179,6.8,45,1,1,1,0,245,high
180,6.6,37,1,1,1,1,255,high
181,6.7,38,1,0,1,0,255,high
182,6.8,45,0,1,1,1,255,high
183,6.6,37,1,1,1,1,255,high
184,6.7,38,1,0,1,0,255,high
185,6.8,45,0,1,1,1,255,high
186,6.6,45,0,1,1,1,250,high
187,6.8,45,1,1,1,1,245,high
188,6.8,36,0,1,1,0,253,high
189,6.6,37,1,0,1,0,255,high
190,6.5,38,1,1,1,1,255,high
191,6.7,38,1,0,1,0,255,high
192,6.6,43,1,0,1,1,250,high
193,6.8,45,0,1,1,1,255,high
194,6.6,38,1,0,1,0,255,high
195,6.6,45,0,1,1,1,250,high
196,6.8,45,0,1,1,1,255,high
197,6.6,45,0,1,1,1,250,high
198,6.8,45,1,1,1,1,245,high
199,6.8,36,0,1,1,0,253,high
200,6.6,37,1,0,1,0,255,high
201,6.5,38,1,1,1,1,255,high
202,6.8,40,1,1,1,1,255,high
203,6.8,45,1,1,1,0,245,high
204,6.8,40,1,1,1,1,255,high
205,6.8,45,1,1,1,0,245,high
206,6.6,37,1,1,1,1,255,high
207,6.7,38,1,0,1,0,255,high
208,6.8,43,1,0,1,0,250,high
209,6.8,45,0,1,1,1,255,high
210,6.6,40,1,1,1,1,255,high
211,6.6,45,0,1,1,1,250,high
212,6.8,45,1,1,1,1,245,high
213,6.6,37,1,0,1,0,255,high
214,6.5,38,1,1,1,1,255,high
215,6.7,38,1,0,1,0,255,high
216,6.8,45,0,1,1,1,255,high
217,6.6,37,1,1,1,1,255,high
218,6.8,45,0,1,1,1,255,high
219,6.5,38,1,1,1,1,255,high
220,6.8,40,1,1,1,1,255,high
221,6.6,38,0,1,1,1,255,high
222,6.8,45,1,1,1,0,245,high
223,6.6,37,1,1,1,1,255,high
224,6.6,45,0,1,1,1,250,high
225,6.8,45,1,1,1,1,245,high
226,6.8,36,0,1,1,0,253,high
227,6.6,37,1,0,1,0,255,high
228,6.8,41,1,1,1,0,255,high
229,6.5,38,1,1,1,1,255,high
230,6.7,38,1,0,1,0,255,high
231,6.6,43,1,0,1,1,250,high
232,6.7,38,1,0,1,0,255,high
233,6.8,43,1,0,1,0,250,high
234,6.8,45,0,1,1,1,255,high
235,6.6,45,0,1,1,1,250,high
236,6.8,45,1,1,1,1,245,high
237,6.8,36,0,1,1,0,253,high
238,6.6,37,1,0,1,0,255,high
239,6.5,38,1,1,1,1,255,high
240,6.7,38,1,0,1,0,255,high
241,6.8,45,0,1,1,1,255,high
242,6.6,45,0,1,1,1,250,high
243,6.8,45,0,1,1,1,255,high
244,6.6,45,0,1,1,1,250,high
245,6.8,45,1,1,1,1,245,high
246,6.8,36,0,1,1,0,253,high
247,6.6,37,1,0,1,0,255,high
248,6.5,38,1,1,1,1,255,high
249,6.8,40,1,1,1,1,255,high
250,6.8,45,1,1,1,0,245,high
251,6.8,40,1,1,1,1,255,high
252,6.8,45,1,1,1,0,245,high
253,6.6,37,1,1,1,1,255,high
254,6.7,38,1,0,1,0,255,high
255,6.8,43,1,0,1,0,250,high
256,8.5,70,1,1,1,1,246,low
257,9.5,34,1,1,0,1,255,low
258,5.5,45,1,0,1,1,250,low
259,4.5,60,0,1,1,1,250,low
260,8.1,66,1,0,1,1,255,low
261,5.6,50,0,1,1,1,255,low
262,8.6,55,0,1,1,1,255,low
263,7.4,90,1,0,1,1,255,low
264,4.7,38,1,0,1,0,255,low
265,3,40,1,1,1,1,255,low
266,9,43,1,0,1,1,250,low
267,4.5,38,0,1,1,1,255,low
268,8.5,70,0,0,0,0,246,low
269,6.5,40,0,1,0,1,250,low
270,6.7,50,1,1,1,0,245,low
271,8.6,55,0,1,0,0,255,low
272,7.4,65,0,0,0,0,255,low
273,3,40,1,0,0,0,255,low
274,9,43,1,1,1,1,248,low
275,9.5,34,1,1,0,1,255,low
276,5.5,45,1,0,1,1,250,low
277,4.5,60,0,1,1,1,250,low
278,8.1,66,1,0,1,1,255,low
279,5.6,50,0,1,1,1,255,low
280,8.6,55,0,1,1,1,255,low
281,7.4,90,1,0,1,1,255,low
282,3,40,1,1,1,1,255,low
283,9,43,1,0,1,1,250,low
284,8.6,55,0,1,1,1,255,low
285,4.7,38,1,0,1,0,255,low
286,3,40,1,1,1,1,255,low
287,9,43,1,0,1,1,250,low
288,4.5,38,0,1,1,1,255,low
289,8.5,70,0,0,0,0,246,low
290,7.4,65,0,0,0,0,255,low
291,3,40,1,0,0,0,255,low
292,9,43,1,1,1,1,248,low
293,6.6,50,0,0,0,1,250,low
294,6.6,50,0,0,0,0,255,low
295,9.5,34,1,1,0,1,255,low
296,9.5,34,1,1,0,1,255,low
297,5.5,45,1,0,1,1,250,low
298,4.5,60,0,1,1,1,250,low
299,8.1,66,1,0,1,1,255,low
300,5.6,50,0,1,1,1,255,low
301,7.4,90,1,0,1,1,255,low
302,6.8,50,0,0,1,0,255,low
303,3,40,1,1,1,1,255,low
304,8.6,55,0,1,1,1,255,low
305,3,40,1,1,1,1,255,low
306,9,43,1,0,1,1,250,low
307,6.5,55,1,0,1,0,246,low
308,8.5,70,0,0,0,0,246,low
309,4.5,38,0,1,1,1,255,low
310,8.5,70,0,0,0,0,246,low
311,7.4,65,0,0,0,0,255,low
312,3,40,1,0,0,0,255,low
313,9,43,1,1,1,1,248,low
314,6.6,50,0,0,0,1,250,low
315,6.6,50,0,0,0,0,255,low
316,9.5,34,1,1,0,1,255,low
317,9.5,34,1,1,0,1,255,low
318,5.5,45,1,0,1,1,250,low
319,4.5,60,0,1,1,1,250,low
320,8.1,66,1,0,1,1,255,low
321,5.6,50,0,1,1,1,255,low
322,7.4,90,1,0,1,1,255,low
323,6.8,50,0,0,1,0,255,low
324,6.7,50,1,1,1,0,245,low
325,8.6,55,0,1,0,0,255,low
326,7.4,65,0,0,0,0,255,low
327,3,40,1,0,0,0,255,low
328,9,43,1,1,1,1,248,low
329,9.5,34,1,1,0,1,255,low
330,5.5,45,1,0,1,1,250,low
331,4.5,60,0,1,1,1,250,low
332,8.1,66,1,0,1,1,255,low
333,5.6,50,0,1,1,1,255,low
334,8.6,55,0,1,1,1,255,low
335,7.4,90,1,0,1,1,255,low
336,3,40,1,1,1,1,255,low
337,9,43,1,0,1,1,250,low
338,8.6,55,0,1,1,1,255,low
339,4.7,38,1,0,1,0,255,low
340,3,40,1,1,1,1,255,low
341,9,43,1,0,1,1,250,low
342,5.5,45,1,0,1,1,250,low
343,4.5,60,0,1,1,1,250,low
344,8.1,66,1,0,1,1,255,low
345,5.6,50,0,1,1,1,255,low
346,8.6,55,0,1,1,1,255,low
347,7.4,90,1,0,1,1,255,low
348,3,40,1,1,1,1,255,low
349,9,43,1,0,1,1,250,low
350,8.6,55,0,1,1,1,255,low
351,4.7,38,1,0,1,0,255,low
352,3,40,1,1,1,1,255,low
353,9,43,1,0,1,1,250,low
354,4.5,38,0,1,1,1,255,low
355,8.5,70,0,0,0,0,246,low
356,7.4,65,0,0,0,0,255,low
357,3,40,1,0,0,0,255,low
358,9,43,1,1,1,1,248,low
359,3,40,1,1,1,1,255,low
360,8.6,55,0,1,1,1,255,low
361,3,40,1,1,1,1,255,low
362,9,43,1,0,1,1,250,low
363,6.5,55,1,0,1,0,246,low
364,8.5,70,0,0,0,0,246,low
365,4.5,38,0,1,1,1,255,low
366,8.5,70,0,0,0,0,246,low
367,9,43,1,1,1,1,248,low
368,6.6,50,0,0,0,1,250,low
369,6.6,50,0,0,0,0,255,low
370,9.5,34,1,1,0,1,255,low
371,9.5,34,1,1,0,1,255,low
372,5.5,45,1,0,1,1,250,low
373,4.5,60,0,1,1,1,250,low
374,8.1,66,1,0,1,1,255,low
375,5.6,50,0,1,1,1,255,low
376,7.4,90,1,0,1,1,255,low
377,6.8,50,0,0,1,0,255,low
378,6.7,50,1,1,1,0,245,low
379,8.6,55,0,1,0,0,255,low
380,7.4,65,0,0,0,0,255,low
381,3,40,1,0,0,0,255,low
382,9,43,1,1,1,1,248,low
383,9.5,34,1,1,0,1,255,low
384,5.5,45,1,0,1,1,250,low
385,4.5,60,0,1,1,1,250,low
386,8.1,66,1,0,1,1,255,low
387,5.6,50,0,1,1,1,255,low
388,8.6,55,0,1,1,1,255,low
389,7.4,90,1,0,1,1,255,low
390,3,40,1,1,1,1,255,low
391,9,43,1,0,1,1,250,low
392,8.6,55,0,1,1,1,255,low
393,4.7,38,1,0,1,0,255,low
394,3,40,1,1,1,1,255,low
395,9,43,1,0,1,1,250,low
396,5.5,45,1,0,1,1,250,low
397,4.5,60,0,1,1,1,250,low
398,8.1,66,1,0,1,1,255,low
399,5.6,50,0,1,1,1,255,low
400,8.6,55,0,1,1,1,255,low
401,7.4,90,1,0,1,1,255,low
402,3,40,1,1,1,1,255,low
403,9,43,1,0,1,1,250,low
404,8.6,55,0,1,1,1,255,low
405,4.7,38,1,0,1,0,255,low
406,3,40,1,1,1,1,255,low
407,9,43,1,0,1,1,250,low
408,4.5,38,0,1,1,1,255,low
409,8.5,70,0,0,0,0,246,low
410,7.4,65,0,0,0,0,255,low
411,3,40,1,0,0,0,255,low
412,9,43,1,1,1,1,248,low
413,3,40,1,1,1,1,255,low
414,8.6,55,0,1,1,1,255,low
415,3,40,1,1,1,1,255,low
416,9,43,1,0,1,1,250,low
417,4.7,38,1,0,1,0,255,low
418,3,40,1,1,1,1,255,low
419,9,43,1,0,1,1,250,low
420,4.5,38,0,1,1,1,255,low
421,8.5,70,0,0,0,0,246,low
422,7.4,65,0,0,0,0,255,low
423,3,40,1,0,0,0,255,low
424,9,43,1,1,1,1,248,low
425,6.6,50,0,0,0,1,250,low
426,6.6,50,0,0,0,0,255,low
427,9.5,34,1,1,0,1,255,low
428,9.5,34,1,1,0,1,255,low
429,5.5,45,1,0,1,1,250,low
430,4.5,60,0,1,1,1,250,low
431,8.1,66,1,0,1,1,255,low
432,5.6,50,0,1,1,1,255,low
433,7.4,90,1,0,1,1,255,low
434,6.8,50,0,0,1,0,255,low
435,3,40,1,1,1,1,255,low
436,8.6,55,0,1,1,1,255,low
437,3,40,1,1,1,1,255,low
438,9,43,1,0,1,1,250,low
439,6.5,55,1,0,1,0,246,low
440,8.5,70,0,0,0,0,246,low
441,4.5,38,0,1,1,1,255,low
442,8.5,70,0,0,0,0,246,low
443,6.6,50,0,0,0,0,255,low
444,9.5,34,1,1,0,1,255,low
445,9.5,34,1,1,0,1,255,low
446,5.5,45,1,0,1,1,250,low
447,4.5,60,0,1,1,1,250,low
448,8.1,66,1,0,1,1,255,low
449,5.6,50,0,1,1,1,255,low
450,7.4,90,1,0,1,1,255,low
451,6.8,50,0,0,1,0,255,low
452,3,40,1,1,1,1,255,low
453,8.6,55,0,1,1,1,255,low
454,3,40,1,1,1,1,255,low
455,9,43,1,0,1,1,250,low
456,6.5,55,1,0,1,0,246,low
457,8.5,70,0,0,0,0,246,low
458,4.5,38,0,1,1,1,255,low
459,8.5,70,0,0,0,0,246,low
460,7.4,65,0,0,0,0,255,low
461,3,40,1,0,0,0,255,low
462,9,43,1,1,1,1,248,low
463,6.6,50,0,0,0,1,250,low
464,6.6,50,0,0,0,0,255,low
465,9.5,34,1,1,0,1,255,low
466,9.5,34,1,1,0,1,255,low
467,5.5,45,1,0,1,1,250,low
468,4.5,60,0,1,1,1,250,low
469,8.1,66,1,0,1,1,255,low
470,5.6,50,0,1,1,1,255,low
471,7.4,90,1,0,1,1,255,low
472,6.8,50,0,0,1,0,255,low
473,6.7,50,1,1,1,0,245,low
474,7.4,65,0,0,0,0,255,low
475,3,40,1,0,0,0,255,low
476,9,43,1,1,1,1,248,low
477,6.6,50,0,0,0,1,250,low
478,9.5,34,1,1,0,1,255,low
479,5.5,45,1,0,1,1,250,low
480,8.1,66,1,0,1,1,255,low
481,3,40,1,1,1,1,255,low
482,8.6,55,0,1,1,1,255,low
483,6.8,55,0,0,0,1,255,low
484,4.7,38,1,0,1,0,255,low
485,3,40,1,1,1,1,255,low
486,9,43,1,0,1,1,250,low
487,4.5,38,0,1,1,1,255,low
488,6.5,50,1,0,1,0,246,low
489,8.5,70,0,0,0,0,246,low
490,7.4,65,0,0,0,0,255,low
491,9,43,1,1,1,1,248,low
492,3,40,1,1,1,1,255,low
493,3,40,1,0,0,0,255,low
494,9,43,1,1,1,1,248,low
495,6.6,50,0,0,0,1,250,low
496,6.6,50,0,0,0,0,255,low
497,9.5,34,1,1,0,1,255,low
498,9.5,34,1,1,0,1,255,low
499,5.5,45,1,0,1,1,250,low
500,4.5,60,0,1,1,1,250,low
501,8.1,66,1,0,1,1,255,low
502,5.6,50,0,1,1,1,255,low
503,7.4,90,1,0,1,1,255,low
504,6.8,50,0,0,1,0,255,low
505,6.7,50,1,1,1,0,245,low
506,7.4,65,0,0,0,0,255,low
507,3,40,1,0,0,0,255,low
508,9,43,1,1,1,1,248,low
509,6.6,50,0,0,0,1,250,low
510,9.5,34,1,1,0,1,255,low
511,5.5,45,1,0,1,1,250,low
512,8.1,66,1,0,1,1,255,low
513,3,40,1,1,1,1,255,low
514,8.6,55,0,1,1,1,255,low
515,6.8,55,0,0,0,1,255,low
516,4.7,38,1,0,1,0,255,low
517,3,40,1,1,1,1,255,low
518,9,43,1,0,1,1,250,low
519,4.5,38,0,1,1,1,255,low
520,6.5,50,1,0,1,0,246,low
521,8.5,70,0,0,0,0,246,low
522,7.4,65,0,0,0,0,255,low
523,3,40,1,1,1,1,255,low
524,9,43,1,0,1,1,250,low
525,8.6,55,0,1,1,1,255,low
526,4.7,38,1,0,1,0,255,low
527,3,40,1,1,1,1,255,low
528,9,43,1,0,1,1,250,low
529,5.5,45,1,0,1,1,250,low
530,4.5,60,0,1,1,1,250,low
531,8.1,66,1,0,1,1,255,low
532,5.6,50,0,1,1,1,255,low
533,8.6,55,0,1,1,1,255,low
534,7.4,90,1,0,1,1,255,low
535,3,40,1,1,1,1,255,low
536,9,43,1,0,1,1,250,low
537,8.6,55,0,1,1,1,255,low
538,4.7,38,1,0,1,0,255,low
539,3,40,1,1,1,1,255,low
540,9,43,1,0,1,1,250,low
541,4.5,38,0,1,1,1,255,low
542,8.5,70,0,0,0,0,246,low
543,7.4,65,0,0,0,0,255,low
544,3,40,1,0,0,0,255,low
545,9,43,1,1,1,1,248,low
546,3,40,1,1,1,1,255,low
547,8.6,55,0,1,1,1,255,low
548,3,40,1,1,1,1,255,low
549,9,43,1,0,1,1,250,low
550,4.7,38,1,0,1,0,255,low
551,3,40,1,1,1,1,255,low
552,9,43,1,0,1,1,250,low
553,4.5,38,0,1,1,1,255,low
554,5.5,45,1,0,1,1,250,low
555,4.5,60,0,1,1,1,250,low
556,8.1,66,1,0,1,1,255,low
557,5.6,50,0,1,1,1,255,low
558,7.4,90,1,0,1,1,255,low
559,6.8,50,0,0,1,0,255,low
560,6.7,50,1,1,1,0,245,low
561,8.6,55,0,1,0,0,255,low
562,7.4,65,0,0,0,0,255,low
563,3,40,1,0,0,0,255,low
564,9,43,1,1,1,1,248,low
565,9.5,34,1,1,0,1,255,low
566,5.5,45,1,0,1,1,250,low
567,4.5,60,0,1,1,1,250,low
568,8.1,66,1,0,1,1,255,low
569,5.6,50,0,1,1,1,255,low
570,8.6,55,0,1,1,1,255,low
571,7.4,90,1,0,1,1,255,low
572,3,40,1,1,1,1,255,low
573,9,43,1,0,1,1,250,low
574,8.6,55,0,1,1,1,255,low
575,4.7,38,1,0,1,0,255,low
576,3,40,1,1,1,1,255,low
577,9,43,1,0,1,1,250,low
578,5.5,45,1,0,1,1,250,low
579,4.5,60,0,1,1,1,250,low
580,8.1,66,1,0,1,1,255,low
581,5.6,50,0,1,1,1,255,low
582,8.6,55,0,1,1,1,255,low
583,7.4,90,1,0,1,1,255,low
584,3,40,1,1,1,1,255,low
585,9,43,1,0,1,1,250,low
586,8.6,55,0,1,1,1,255,low
587,4.7,38,1,0,1,0,255,low
588,3,40,1,1,1,1,255,low
589,9,43,1,0,1,1,250,low
590,4.5,38,0,1,1,1,255,low
591,8.5,70,0,0,0,0,246,low
592,7.4,65,0,0,0,0,255,low
593,3,40,1,0,0,0,255,low
594,9,43,1,1,1,1,248,low
595,8.6,55,0,1,1,1,255,low
596,3,40,1,1,1,1,255,low
597,9,43,1,0,1,1,250,low
598,4.7,38,1,0,1,0,255,low
599,3,40,1,1,1,1,255,low
600,9,43,1,0,1,1,250,low
601,4.5,38,0,1,1,1,255,low
602,8.5,70,0,0,0,0,246,low
603,6.5,37,0,1,1,1,245,low
604,7.4,65,0,0,0,0,255,low
605,3,40,1,0,0,0,255,low
606,9,43,1,1,1,1,248,low
607,6.6,50,0,0,0,1,250,low
608,6.6,50,0,0,0,0,255,low
609,9,43,1,1,1,1,248,low
610,6.6,50,0,0,0,1,250,low
611,9.5,34,1,1,0,1,255,low
612,5.5,45,1,0,1,1,250,low
613,8.1,66,1,0,1,1,255,low
614,3,40,1,1,1,1,255,low
615,8.6,55,0,1,1,1,255,low
616,6.8,55,0,0,0,1,255,low
617,4.7,38,1,0,1,0,255,low
618,9,43,1,0,1,1,250,low
619,4.5,38,0,1,1,1,255,low
620,6.5,50,1,0,1,0,246,low
621,7.4,65,0,0,0,0,255,low
622,3,40,1,1,1,1,255,low
623,8.6,55,0,1,1,1,255,low
624,4.7,38,1,0,1,0,255,low
625,3,40,1,1,1,1,255,low
626,9,43,1,0,1,1,250,low
627,5.5,45,1,0,1,1,250,low
628,8.1,66,1,0,1,1,255,low
629,5.6,50,0,1,1,1,255,low
630,8.6,55,0,1,1,1,255,low
631,6.7,50,1,1,1,0,245,low
632,8.6,55,0,1,0,0,255,low
633,7.4,65,0,0,0,0,255,low
634,3,40,1,0,0,0,255,low
635,9,43,1,1,1,1,248,low
636,9.5,34,1,1,0,1,255,low
637,5.5,45,1,0,1,1,250,low
638,4.5,60,0,1,1,1,250,low
639,8.1,66,1,0,1,1,255,low
640,5.6,50,0,1,1,1,255,low
641,8.6,55,0,1,1,1,255,low
642,9,43,1,0,1,1,250,low
643,4.5,38,0,1,1,1,255,low
644,8.5,70,0,0,0,0,246,low
645,7.4,65,0,0,0,0,255,low
646,3,40,1,0,0,0,255,low
647,9,43,1,1,1,1,248,low
648,3,40,1,1,1,1,255,low
649,8.6,55,0,1,1,1,255,low
650,8.1,66,1,0,1,1,255,low
651,3,40,1,1,1,1,255,low
652,8.6,55,0,1,1,1,255,low
653,6.8,55,0,0,0,1,255,low
654,4.7,38,1,0,1,0,255,low
655,3,40,1,1,1,1,255,low
656,9,43,1,0,1,1,250,low
657,4.5,38,0,1,1,1,255,low
658,8.5,70,0,0,0,0,246,low
659,7.4,65,0,0,0,0,255,low
660,3,40,1,1,1,1,255,low
661,8.6,55,0,1,1,1,255,low
662,4.7,38,1,0,1,0,255,low
663,3,40,1,1,1,1,255,low
664,9,43,1,0,1,1,250,low
665,3,40,1,1,1,1,255,low
666,9,43,1,0,1,1,250,low
667,4.7,38,1,0,1,0,255,low
668,3,40,1,1,1,1,255,low
669,9,43,1,0,1,1,250,low
670,4.5,38,0,1,1,1,255,low
671,8.5,70,0,0,0,0,246,low
672,6.5,37,0,1,1,1,245,low
673,7.4,65,0,0,0,0,255,low
674,3,40,1,0,0,0,255,low
675,9,43,1,1,1,1,248,low
676,6.6,50,0,0,0,1,250,low
677,6.6,50,0,0,0,0,255,low
678,9,43,1,1,1,1,248,low
679,6.6,50,0,0,0,1,250,low
680,9.5,34,1,1,0,1,255,low
681,5.5,45,1,0,1,1,250,low
682,8.1,66,1,0,1,1,255,low
683,3,40,1,1,1,1,255,low
684,8.6,55,0,1,1,1,255,low
685,6.6,37,0,0,0,0,255,medium
686,6.7,45,1,1,0,0,247,medium
687,6.7,45,1,1,1,0,245,medium
688,6.5,38,1,0,0,0,255,medium
689,6.8,40,1,0,1,0,245,medium
690,6.5,36,0,0,1,0,255,medium
691,6.8,35,1,0,1,0,246,medium
692,6.6,34,0,0,0,1,240,medium
693,6.5,37,0,0,0,0,245,medium
694,6.4,45,0,1,0,0,240,medium
695,6.7,41,1,0,0,0,247,medium
696,6.8,41,0,0,0,0,255,medium
697,6.8,38,0,0,0,0,255,medium
698,6.6,45,0,0,0,1,250,medium
699,6.5,36,0,0,0,0,247,medium
700,6.6,38,0,0,0,0,255,medium
701,6.5,37,0,0,0,0,255,medium
702,6.7,45,1,1,0,0,247,medium
703,6.7,45,1,1,1,0,245,medium
704,6.8,45,0,0,1,0,255,medium
705,6.5,38,1,0,1,0,255,medium
706,6.8,45,0,0,0,1,255,medium
